
423,Services-Allied To Motion Picture Production
424,Services-Motion Picture  Video Tape Distribution
425,Services-Allied To Motion Picture Distribution
426,
427,Services-Motion Picture Theaters
428,Services-Video Tape Rental
429,Services-Amusement  Recreation Services
430,Services-Racing Including Track Operation
431,Services-Miscellaneous Amusement  Recreation
432,Services-Video Game Arcades
433,Services-Gambling Transactions
434,Services-Amusement Parks
435,Services-Membership Sports  Recreation Clubs
436,Services-Health Services
437,Services-Offices  Clinics of Doctors of Medicine
438,Services-Nursing  Personal Care Facilities
439,Services-Skilled Nursing Care Facilities
440,Services-Hospitals
441,Services-General Medical  Surgical Hospitals NEC
442,Services-Medical Laboratories
443,Services-Home Health Care Services
444,Services-Misc Health  Allied Services NEC
445,Services-Specialty Outpatient Facilities NEC
446,Services-Legal Services
447,Services-Educational Services
448,Services-Social Services
449,Services-Child Day Care Services
450,Services-Membership organizations
451,Services-Engineering Accounting Research Management
452,Services-Engineering Services
453,Services-Commercial Physical  Biological Research
454,Services-Testing Laboratories
455,Services-Management Services
456,Services-Management Consulting Services
457,Services-Facilities Support Management Services
458,Business Consulting Services Not Elsewhere Classified
459,American Depositary Receipts
460,Foreign Governments
461,Services-Services NEC
462,International Affairs
463,Non-Operating Establishments
